X_m, Pressure_Pa
6.91912994e-02, 3.42416125e+05
6.92602918e-02, 3.38823531e+05
6.93290532e-02, 3.34948813e+05
6.93975762e-02, 3.30787250e+05
6.94658756e-02, 3.26608563e+05
6.95339367e-02, 3.22552469e+05
6.96017668e-02, 3.18624281e+05
6.96693659e-02, 3.14805938e+05
6.97367340e-02, 3.11073813e+05
6.98038712e-02, 3.07405375e+05
6.98707849e-02, 3.03784750e+05
6.99374676e-02, 3.00208844e+05
7.00039268e-02, 2.96692813e+05
7.00701550e-02, 2.93271125e+05
7.01361671e-02, 2.89991500e+05
7.02019483e-02, 2.86902188e+05
7.02675059e-02, 2.84038563e+05
7.03328401e-02, 2.81414344e+05
7.03979507e-02, 2.79020250e+05
7.04628453e-02, 2.76829125e+05
7.05275163e-02, 2.74804656e+05
7.05919638e-02, 2.72909313e+05
7.06562027e-02, 2.71110063e+05
7.07202107e-02, 2.69380938e+05
7.07840100e-02, 2.67703313e+05
7.08475858e-02, 2.66065000e+05
7.09109530e-02, 2.64458813e+05
7.09740967e-02, 2.62880781e+05
7.10370317e-02, 2.61328250e+05
7.10997507e-02, 2.59800563e+05
7.11622536e-02, 2.58304859e+05
7.12245479e-02, 2.56849078e+05
7.12866262e-02, 2.55395891e+05
7.13484958e-02, 2.53832656e+05
7.14101568e-02, 2.52154781e+05
7.14716092e-02, 2.50471563e+05
7.15328455e-02, 2.48828469e+05
7.15938807e-02, 2.47233719e+05
7.16547072e-02, 2.45692594e+05
7.17153251e-02, 2.44210766e+05
7.17757344e-02, 2.42793875e+05
7.18359426e-02, 2.41446781e+05
7.18959421e-02, 2.40172438e+05
7.19557405e-02, 2.38970328e+05
7.20153376e-02, 2.37835516e+05
7.20747262e-02, 2.36758188e+05
7.21339211e-02, 2.35724813e+05
7.21929073e-02, 2.34720297e+05
7.22516924e-02, 2.33731031e+05
7.23102838e-02, 2.32747500e+05
7.23686740e-02, 2.31765359e+05
7.24268630e-02, 2.30785000e+05
7.24848509e-02, 2.29809313e+05
7.25426525e-02, 2.28841578e+05
7.26002455e-02, 2.27883609e+05
7.26576522e-02, 2.26935453e+05
7.27148578e-02, 2.25995781e+05
7.27718696e-02, 2.25063094e+05
7.28286877e-02, 2.24136313e+05
7.28853196e-02, 2.23214828e+05
7.29417503e-02, 2.22297813e+05
7.29979947e-02, 2.21383750e+05
7.30540454e-02, 2.20470125e+05
7.31099024e-02, 2.19554000e+05
7.31655732e-02, 2.18633094e+05
7.32210502e-02, 2.17706922e+05
7.32763410e-02, 2.16777547e+05
7.33314455e-02, 2.15849391e+05
7.33863637e-02, 2.14928344e+05
7.34410957e-02, 2.14020797e+05
7.34956414e-02, 2.13132125e+05
7.35499933e-02, 2.12264109e+05
7.36041665e-02, 2.11412672e+05
7.36581609e-02, 2.10574063e+05
7.37119615e-02, 2.09751031e+05
7.37655833e-02, 2.08946000e+05
7.38190264e-02, 2.08158391e+05
7.38722831e-02, 2.07387938e+05
7.39253610e-02, 2.06634891e+05
7.39782602e-02, 2.05899500e+05
7.40309730e-02, 2.05181406e+05
7.40835145e-02, 2.04479578e+05
7.41358697e-02, 2.03792313e+05
7.41880536e-02, 2.03117594e+05
7.42400587e-02, 2.02453484e+05
7.42918849e-02, 2.01798625e+05
7.43435323e-02, 2.01152203e+05
7.43950084e-02, 2.00513922e+05
7.44463056e-02, 1.99883906e+05
7.44974315e-02, 1.99262125e+05
7.45483860e-02, 1.98648234e+05
7.45991617e-02, 1.98041500e+05
7.46497661e-02, 1.97440750e+05
7.47001991e-02, 1.96844688e+05
7.47504681e-02, 1.96252156e+05
7.48005584e-02, 1.95662391e+05
7.48504773e-02, 1.95075188e+05
7.49002248e-02, 1.94490906e+05
7.49498084e-02, 1.93910375e+05
7.49992207e-02, 1.93334641e+05
7.50484690e-02, 1.92764625e+05
7.50975460e-02, 1.92201063e+05
7.51464590e-02, 1.91644250e+05
7.51952007e-02, 1.91094156e+05
7.52437785e-02, 1.90550438e+05
7.52921924e-02, 1.90012672e+05
7.53404424e-02, 1.89480500e+05
7.53885284e-02, 1.88953813e+05
7.54364505e-02, 1.88432859e+05
7.54842088e-02, 1.87918250e+05
7.55318031e-02, 1.87410813e+05
7.55792335e-02, 1.86911594e+05
7.56265074e-02, 1.86421625e+05
7.56736249e-02, 1.85941813e+05
7.57205710e-02, 1.85472688e+05
7.57673681e-02, 1.85014422e+05
7.58140013e-02, 1.84566813e+05
7.58604705e-02, 1.84128953e+05
7.59067908e-02, 1.83699578e+05
7.59529471e-02, 1.83276875e+05
7.59989470e-02, 1.82858563e+05
7.60447979e-02, 1.82442031e+05
7.60904849e-02, 1.82024406e+05
7.61360228e-02, 1.81602625e+05
7.61813968e-02, 1.81173625e+05
7.62266219e-02, 1.80734422e+05
7.62716979e-02, 1.80282391e+05
7.63166174e-02, 1.79815281e+05
7.63613805e-02, 1.79331344e+05
7.64059946e-02, 1.78829500e+05
7.64504522e-02, 1.78309375e+05
7.64947608e-02, 1.77771234e+05
7.65389204e-02, 1.77215984e+05
7.65829310e-02, 1.76645141e+05
7.66267926e-02, 1.76060297e+05
7.66705051e-02, 1.75463000e+05
7.67140687e-02, 1.74856094e+05
7.67574757e-02, 1.74245406e+05
7.68007487e-02, 1.73628906e+05
7.68438652e-02, 1.72970969e+05
7.68868402e-02, 1.72227688e+05
7.69296661e-02, 1.71427688e+05
7.69723430e-02, 1.70617094e+05
7.70148784e-02, 1.69799094e+05
7.70572722e-02, 1.68972375e+05
7.70995170e-02, 1.68134844e+05
7.71416202e-02, 1.67284281e+05
7.71835819e-02, 1.66422063e+05
7.72253945e-02, 1.65548500e+05
7.72670731e-02, 1.64660281e+05
7.73086026e-02, 1.63705344e+05
7.73499981e-02, 1.62755563e+05
7.73969665e-02, 1.61827938e+05
7.74443224e-02, 1.60819109e+05
7.74920732e-02, 1.59745438e+05
7.75402263e-02, 1.58640813e+05
7.75887743e-02, 1.57538125e+05
7.76377246e-02, 1.56454656e+05
7.76870847e-02, 1.55395656e+05
7.77368546e-02, 1.54358750e+05
7.77870342e-02, 1.53336625e+05
7.78376386e-02, 1.52323156e+05
7.78886527e-02, 1.51316281e+05
7.79400989e-02, 1.50317703e+05
7.79919699e-02, 1.49330156e+05
7.80442730e-02, 1.48355375e+05
7.80970082e-02, 1.47393516e+05
7.81501830e-02, 1.46443641e+05
7.82038048e-02, 1.45505219e+05
7.82578662e-02, 1.44578750e+05
7.83123747e-02, 1.43666047e+05
7.83673376e-02, 1.42769406e+05
7.84227625e-02, 1.41891250e+05
7.84786418e-02, 1.41033750e+05
7.85349905e-02, 1.40198063e+05
7.85918012e-02, 1.39384281e+05
7.86490887e-02, 1.38591750e+05
7.87068531e-02, 1.37818969e+05
7.87650943e-02, 1.37063719e+05
7.88238198e-02, 1.36323094e+05
7.88830370e-02, 1.35593719e+05
7.89427385e-02, 1.34872063e+05
7.90029466e-02, 1.34154703e+05
7.90636465e-02, 1.33438875e+05
7.91248530e-02, 1.32722750e+05
7.91865662e-02, 1.32005516e+05
7.92488009e-02, 1.31287219e+05
7.93115422e-02, 1.30568422e+05
7.93748125e-02, 1.29850016e+05
7.94386044e-02, 1.29133516e+05
7.95029253e-02, 1.28421125e+05
7.95677826e-02, 1.27715313e+05
7.96331763e-02, 1.27018516e+05
7.96991214e-02, 1.26332977e+05
7.97656029e-02, 1.25660742e+05
7.98326433e-02, 1.25003695e+05
7.99002424e-02, 1.24363430e+05
7.99684003e-02, 1.23741180e+05
8.00371245e-02, 1.23138484e+05
8.01064223e-02, 1.22541820e+05
8.01762938e-02, 1.21997234e+05
undef, undef
8.03359523e-02, 1.20910789e+05
8.04253817e-02, 1.20240695e+05
8.05150121e-02, 1.19587641e+05
8.06048661e-02, 1.18991414e+05
8.06949362e-02, 1.18439156e+05
8.07852149e-02, 1.17903094e+05
8.08757171e-02, 1.17366117e+05
8.09664354e-02, 1.16824984e+05
8.10573697e-02, 1.16282453e+05
8.11485201e-02, 1.15740938e+05
